term,raw_count_domain,tf,df_wikipedia,idf,tfidf_score,in_wikipedia,below_min_df
actuator,18,3.890372,804,9.982187,38.834417,true,false
remark,53,4.970292,7180,7.793835,38.737635,true,false
shield,214,6.365976,39906,6.078722,38.696998,true,false
torque,51,4.931826,6920,7.830713,38.619713,true,false
servo,22,4.091042,1386,9.43813,38.611792,true,false
migration,176,6.170484,33516,6.253221,38.585399,true,false
tear,88,5.477337,15247,7.040825,38.564971,true,false
deviation,46,4.828641,6047,7.965546,38.462765,true,false
wiring,36,4.583519,4039,8.369029,38.359603,true,false
pitting,30,4.401197,2869,8.710962,38.338661,true,false
sulfuric,25,4.218876,2018,9.062671,38.234285,true,false
nick,341,6.831882,64920,5.592102,38.204587,true,false
guide,837,7.729824,125244,4.935002,38.146696,true,false
exentricity,4,2.386294,1,15.979882,38.132702,true,true
attach,51,4.931826,7711,7.722496,38.086004,true,false
connecter,6,2.791759,20,13.628506,38.047512,true,false
sleeve,67,5.204693,11744,7.301846,38.003864,true,false
thread,68,5.219508,12330,7.253157,37.85791,true,false
depth,334,6.811141,68526,5.538046,37.720411,true,false
cable,199,6.293305,44044,5.980062,37.634352,true,false
thermal,96,5.564348,20215,6.758799,37.608312,true,false
reinspection,6,2.791759,24,13.454153,37.560759,true,false
inlet,57,5.043051,10210,7.441808,37.52942,true,false
electrical,253,6.533389,55790,5.743661,37.525575,true,false
shop,385,6.953243,79220,5.393032,37.499065,true,false
template,42,4.73767,6443,7.902124,37.437654,true,false
item,111,5.70953,25417,6.529816,37.282182,true,false
rubbe,4,2.386294,2,15.574417,37.165143,true,true
finding,417,7.033086,89214,5.274224,37.094075,true,false
edge,506,7.226537,108220,5.081098,36.718742,true,false
wire,122,5.804021,31354,6.3199,36.680832,true,false
boot,63,5.143135,14094,7.119453,36.616308,true,false
supply,456,7.122493,102603,5.134397,36.569704,true,false
suply,4,2.386294,3,15.286735,36.478648,true,true
damage,448,7.104793,103257,5.128043,36.433685,true,false
arrestor,10,3.302585,285,11.017037,36.384702,true,false
plate,176,6.170484,47882,5.896513,36.38434,true,false
dirty,92,5.521789,24200,6.57888,36.327183,true,false
burn,108,5.682131,29434,6.383089,36.26955,true,false
barrier,94,5.543295,25654,6.520535,36.145248,true,false
defect,40,4.688879,8132,7.669344,35.960628,true,false
indentification,4,2.386294,4,15.063591,35.946162,true,true
nut,37,4.610918,7570,7.740948,35.692878,true,false
lubrication,18,3.890372,1854,9.147389,35.586744,true,false
visual,314,6.749393,89965,5.265842,35.541236,true,false
condition,369,6.910797,102002,5.140271,35.52337,true,false
heater,20,3.995732,2426,8.878618,35.476579,true,false
situ,34,4.526361,7058,7.81097,35.355267,true,false
particle,50,4.912023,13114,7.191517,35.324897,true,false
shaving,19,3.944439,2253,8.952567,35.312855,true,false
hand,1168,8.063048,220208,4.370697,35.241137,true,false
braid,18,3.890372,2059,9.042568,35.17895,true,false
wear,148,5.997212,50782,5.837712,35.009998,true,false
lockpin,3,2.098612,0,16.673029,34.990223,false,false
ecxiter,3,2.098612,0,16.673029,34.990223,false,false
outerskin,3,2.098612,0,16.673029,34.990223,false,false
bumperseal,3,2.098612,0,16.673029,34.990223,false,false
shafing,3,2.098612,0,16.673029,34.990223,false,false
inlimit,3,2.098612,0,16.673029,34.990223,false,false
clereance,3,2.098612,0,16.673029,34.990223,false,false
mentiod,3,2.098612,0,16.673029,34.990223,false,false
supplytube,3,2.098612,0,16.673029,34.990223,false,false
tipside,3,2.098612,0,16.673029,34.990223,false,false
indication,56,5.025352,16551,6.958767,34.97025,true,false
panel,170,6.135798,58753,5.691914,34.924439,true,false
cowl,14,3.639057,1185,9.594687,34.915617,true,false
ballbearing,4,2.386294,7,14.593587,34.824595,true,false
unserviceable,10,3.302585,462,10.535302,34.793731,true,false
transfer,325,6.783825,106409,5.097974,34.583765,true,false
cracke,4,2.386294,8,14.475804,34.54353,true,false
magnetic,63,5.143135,21174,6.712452,34.523047,true,false
arcing,10,3.302585,508,10.440581,34.480907,true,false
blend,55,5.007333,18068,6.871076,34.405766,true,false
combustion,32,4.465736,8002,7.685457,34.321222,true,false
liner,85,5.442651,31817,6.305241,34.31723,true,false
lanyard,10,3.302585,534,10.390762,34.316376,true,false
chapter,234,6.455321,86417,5.306078,34.252435,true,false
picture,277,6.624018,99205,5.168075,34.23342,true,false
repair,121,5.795791,47622,5.901958,34.206511,true,false
bushings,8,3.079442,302,10.959296,33.748512,true,false
igniton,3,2.098612,1,15.979882,33.535576,true,true
outer,135,5.905275,59769,5.67477,33.511075,true,false
screw,32,4.465736,9739,7.489033,33.444041,true,false
lock,62,5.127134,26216,6.498866,33.320557,true,false
labyrinth,21,4.044522,4853,8.185471,33.106319,true,false
foot,245,6.501258,108499,5.078523,33.016792,true,false
chip,47,4.850148,19769,6.781108,32.889375,true,false
nipple,11,3.397895,1090,9.678179,32.885438,true,false
splitter,11,3.397895,1099,9.669963,32.857523,true,false
bowl,104,5.644391,51810,5.817671,32.83721,true,false
